t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T09:09:34+08:00 0.71 0.71 0.10 1.17 NA
2026-09-12T09:09:45+08:00 5.88 5.88 0.03 1.07 NA
2026-09-12T09:09:52+08:00 8.55 8.55 0.01 1.06 NA
2026-09-12T09:10:02+08:00 32.98 32.98 0.30 1.13 NA
2026-09-12T09:10:12+08:00 65.19 65.19 0.13 1.11 NA
2026-09-12T09:10:20+08:00 78.84 78.84 0.04 1.09 NA
2026-09-12T09:10:30+08:00 79.12 79.12 0.01 1.08 NA
2026-09-12T09:10:40+08:00 84.09 84.09 0.00 1.06 NA
2026-09-12T09:10:50+08:00 89.61 89.61 0.00 1.05 NA
2026-09-12T09:10:58+08:00 92.88 92.88 0.00 1.04 NA
2026-09-12T09:11:08+08:00 90.94 90.94 0.00 1.11 NA
2026-09-12T09:11:18+08:00 90.02 90.02 0.00 1.09 NA
2026-09-12T09:11:25+08:00 90.12 90.12 0.00 1.08 NA
2026-09-12T09:11:35+08:00 40.49 40.49 0.00 1.07 NA
2026-09-12T09:11:45+08:00 15.11 15.11 0.00 1.06 NA
2026-09-12T09:11:53+08:00 8.81 8.81 0.00 1.05 NA
2026-09-12T09:12:03+08:00 7.49 7.49 0.00 1.03 0.0
2026-09-12T09:12:13+08:00 3.42 3.42 0.00 1.03 1.0
2026-09-12T09:12:21+08:00 1.54 1.54 0.00 1.02 1.0
2026-09-12T09:12:31+08:00 0.86 0.86 0.00 1.02 1.0
2026-09-12T09:12:41+08:00 0.31 0.31 0.00 1.09 1.0
2026-09-12T09:12:48+08:00 0.73 0.73 0.00 1.00 1.0
2026-09-12T09:12:58+08:00 1.64 1.64 0.00 1.00 1.0
2026-09-12T09:13:08+08:00 4.44 4.44 0.00 1.07 1.0
2026-09-12T09:13:19+08:00 3.44 3.44 0.00 1.22 1.0
2026-09-12T09:13:26+08:00 1.38 1.38 0.00 1.18 1.0
2026-09-12T09:13:36+08:00 0.62 0.62 0.00 1.15 1.0
2026-09-12T09:13:46+08:00 0.22 0.22 0.00 1.13 1.0
2026-09-12T09:13:54+08:00 1.53 1.53 0.00 1.11 1.0
2026-09-12T09:14:04+08:00 1.13 1.13 0.00 1.09 1.0
2026-09-12T09:14:14+08:00 0.95 0.95 0.00 1.08 1.0
2026-09-12T09:14:21+08:00 0.58 0.58 0.00 1.07 0.0
2026-09-12T09:14:31+08:00 0.41 0.41 0.45 1.37 1.0
2026-09-12T09:14:41+08:00 0.29 0.29 0.79 1.39 1.0
2026-09-12T09:14:49+08:00 0.13 0.13 0.91 1.79 1.0
2026-09-12T09:14:59+08:00 1.37 1.37 0.96 1.83 1.0
2026-09-12T09:15:09+08:00 3.35 3.35 0.98 1.95 1.0
2026-09-12T09:15:19+08:00 1.80 1.80 0.99 2.11 1.0
2026-09-12T09:15:27+08:00 2.30 2.30 0.99 2.16 1.0
2026-09-12T09:15:37+08:00 1.08 1.08 1.00 2.13 1.0
2026-09-12T09:15:47+08:00 3.22 3.22 0.85 2.18 1.0
2026-09-12T09:15:54+08:00 1.84 1.84 0.94 2.30 1.0
2026-09-12T09:16:04+08:00 0.97 0.97 0.97 2.34 1.0
2026-09-12T09:16:14+08:00 0.35 0.35 0.99 2.28 1.0
2026-09-12T09:16:22+08:00 0.75 0.75 0.99 2.62 1.0
2026-09-12T09:16:32+08:00 0.33 0.33 1.00 2.45 1.0
2026-09-12T09:16:42+08:00 1.64 1.64 1.08 2.46 1.0
2026-09-12T09:16:49+08:00 1.23 1.23 1.03 2.62 1.0
2026-09-12T09:16:59+08:00 0.73 0.73 1.01 2.37 1.0
2026-09-12T09:17:09+08:00 0.27 0.27 1.00 2.09 1.0
2026-09-12T09:17:17+08:00 0.61 0.61 1.00 1.92 1.0
2026-09-12T09:17:27+08:00 0.32 0.32 1.00 1.93 1.0
2026-09-12T09:17:37+08:00 0.11 0.11 1.00 1.93 1.0
2026-09-12T09:17:47+08:00 0.95 0.95 1.00 1.93 1.0
2026-09-12T09:17:55+08:00 1.84 1.84 1.00 1.86 1.0
2026-09-12T09:18:05+08:00 0.82 0.82 1.00 1.81 1.0
2026-09-12T09:18:15+08:00 0.30 0.30 1.00 1.84 1.0
2026-09-12T09:18:22+08:00 0.11 0.11 1.18 1.95 0.0
2026-09-12T09:18:32+08:00 0.58 0.58 0.53 1.81 0.0
2026-09-12T09:18:42+08:00 0.70 0.70 0.19 1.68 1.0
2026-09-12T09:18:50+08:00 2.39 2.39 0.08 1.58 1.0
2026-09-12T09:19:00+08:00 2.42 2.42 0.03 1.49 0.0
2026-09-12T09:19:10+08:00 2.06 2.06 0.01 1.41 8.0
2026-09-12T09:19:17+08:00 3.46 3.28 0.00 1.35 8.0
2026-09-12T09:19:27+08:00 2.62 2.56 0.00 1.44 8.0
2026-09-12T09:19:37+08:00 4.69 4.67 0.00 1.37 8.0
2026-09-12T09:19:45+08:00 2.11 2.10 0.00 1.31 8.0
2026-09-12T09:19:55+08:00 2.22 2.22 0.00 1.26 8.0
2026-09-12T09:20:05+08:00 1.00 0.99 0.00 1.22 8.0
2026-09-12T09:20:15+08:00 1.69 1.69 0.00 1.19 8.0
2026-09-12T09:20:23+08:00 0.62 0.62 0.00 1.32 8.0
2026-09-12T09:20:33+08:00 0.28 0.28 0.00 1.27 8.0
2026-09-12T09:20:43+08:00 0.75 0.75 0.00 1.23 8.0
2026-09-12T09:20:50+08:00 0.33 0.33 0.00 1.19 8.0
2026-09-12T09:21:00+08:00 0.61 0.61 0.00 1.16 7.0
2026-09-12T09:21:10+08:00 0.22 0.22 0.00 1.14 8.0
2026-09-12T09:21:18+08:00 0.91 0.91 0.00 1.11 8.0
2026-09-12T09:21:28+08:00 1.67 1.67 0.00 1.10 8.0
2026-09-12T09:21:38+08:00 0.61 0.61 0.00 1.22 8.0
2026-09-12T09:21:45+08:00 2.36 2.36 0.00 1.27 8.0
2026-09-12T09:21:55+08:00 1.41 1.41 0.00 1.23 8.0
2026-09-12T09:22:05+08:00 0.63 0.63 0.00 1.19 8.0
2026-09-12T09:22:15+08:00 0.85 0.85 0.00 1.16 8.0
2026-09-12T09:22:23+08:00 2.85 2.85 0.00 1.14 7.0
2026-09-12T09:22:33+08:00 1.28 1.28 0.00 1.11 8.0
2026-09-12T09:22:43+08:00 2.28 2.28 0.00 1.10 8.0
2026-09-12T09:22:51+08:00 1.12 1.12 0.00 1.08 8.0
2026-09-12T09:23:01+08:00 0.83 0.83 0.00 1.22 8.0
2026-09-12T09:23:11+08:00 0.91 0.91 0.00 1.26 8.0
2026-09-12T09:23:18+08:00 0.41 0.41 0.00 1.22 8.0
2026-09-12T09:23:28+08:00 0.39 0.39 0.00 1.18 8.0
2026-09-12T09:23:38+08:00 2.14 2.14 0.00 1.15 8.0
2026-09-12T09:23:46+08:00 1.16 1.16 0.00 1.05 0.0
2026-09-12T09:23:56+08:00 0.83 0.83 0.00 0.96 1.0
2026-09-12T09:24:06+08:00 0.81 0.81 0.00 0.97 1.0
