t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T09:45:03+08:00 35.16 35.07 0.00 1.50 NA
2026-09-12T09:45:13+08:00 15.56 15.53 0.00 1.27 NA
2026-09-12T09:45:23+08:00 16.46 16.44 0.00 1.23 NA
2026-09-12T09:45:30+08:00 24.23 24.10 0.36 1.35 NA
2026-09-12T09:45:40+08:00 45.61 45.56 0.16 1.30 NA
2026-09-12T09:45:50+08:00 69.13 69.11 0.05 1.33 NA
2026-09-12T09:45:57+08:00 78.32 78.31 0.02 1.36 NA
2026-09-12T09:46:07+08:00 80.41 80.40 0.00 1.31 NA
2026-09-12T09:46:17+08:00 82.89 82.89 0.00 1.26 NA
2026-09-12T09:46:25+08:00 82.23 82.23 0.00 1.30 NA
2026-09-12T09:46:35+08:00 68.15 68.15 0.00 1.25 NA
2026-09-12T09:46:45+08:00 42.57 42.57 0.00 1.20 NA
2026-09-12T09:46:53+08:00 17.49 17.49 0.00 2.93 1.0
2026-09-12T09:47:03+08:00 8.16 8.16 0.00 2.64 1.0
2026-09-12T09:47:13+08:00 4.95 4.95 0.00 2.38 1.0
2026-09-12T09:47:23+08:00 2.95 2.95 0.00 2.17 1.0
2026-09-12T09:47:31+08:00 1.08 1.08 0.00 1.99 1.0
2026-09-12T09:47:41+08:00 0.39 0.39 0.00 1.76 1.0
2026-09-12T09:47:51+08:00 2.10 2.10 0.00 1.65 1.0
2026-09-12T09:47:59+08:00 3.20 3.20 0.00 1.55 0.0
2026-09-12T09:48:09+08:00 2.75 2.75 0.00 1.54 1.0
2026-09-12T09:48:19+08:00 1.94 1.94 0.00 1.53 1.0
2026-09-12T09:48:26+08:00 2.16 2.16 0.00 1.53 1.0
2026-09-12T09:48:36+08:00 2.41 2.41 0.00 1.45 1.0
2026-09-12T09:48:46+08:00 2.09 2.01 0.00 1.38 1.0
2026-09-12T09:48:54+08:00 0.76 0.73 0.00 1.25 1.0
2026-09-12T09:49:04+08:00 3.06 3.04 0.00 1.21 0.0
2026-09-12T09:49:14+08:00 17.77 17.77 0.00 1.34 12.0
2026-09-12T09:49:21+08:00 12.10 12.10 0.00 1.28 5.0
2026-09-12T09:49:31+08:00 4.86 4.86 0.00 1.24 4.0
2026-09-12T09:49:41+08:00 5.39 5.39 0.00 1.20 11.0
