t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789180771.400,0,0,36703,36703,0,0,0,0,25749.338
1789180776.402,0,0,36703,36703,0,0,0,0,25754.340
1789180781.404,78,0,36781,36703,0,0,0,0,25759.341
1789180786.405,82,0,36938,36856,0,0,0,0,25764.343
1789180791.406,120,0,37122,37002,0,0,0,0,25769.344
1789180796.408,140,0,37306,37166,0,0,0,0,25774.346
1789180801.409,180,0,37505,37325,0,0,0,0,25779.347
1789180803.934,131,0,37677,37546,0,0,0,0,25784.350
1789180808.939,86,0,37826,37740,0,0,0,0,25789.355
1789180813.940,117,0,38010,37893,0,0,0,0,25794.356
1789180818.943,141,0,38197,38056,0,0,0,0,25799.359
1789180823.946,154,0,38375,38221,0,0,0,0,25804.362
1789180828.949,125,0,38547,38422,0,0,0,0,25809.365
1789180833.952,100,0,38712,38612,0,0,0,0,25814.368
1789180838.954,101,0,38879,38778,0,0,0,0,25819.370
1789180843.960,105,0,39049,38944,0,0,0,0,25824.376
1789180845.309,175,0,39254,39079,0,0,0,0,25829.379
1789180850.313,190,0,39441,39251,0,0,0,0,25834.384
1789180855.316,132,0,39608,39476,0,0,0,0,25839.386
1789180860.339,136,0,39789,39653,0,0,0,0,25844.409
1789180865.370,119,0,39953,39834,0,0,0,0,25849.440
1789180870.384,120,0,40124,40004,0,0,0,0,25854.454
1789180875.508,93,0,40293,40200,0,0,0,0,25859.578
1789180878.064,89,0,40456,40367,0,0,0,0,25864.614
1789180883.191,77,0,40613,40536,0,0,0,0,25869.741
1789180888.410,113,0,40801,40688,0,0,0,0,25874.960
1789180893.432,95,0,40961,40866,0,0,0,0,25879.982
1789180898.503,94,0,41128,41034,0,0,0,0,25885.053
1789180903.517,129,0,41315,41186,0,0,0,0,25890.067
1789180906.166,105,0,41478,41373,0,0,0,0,25895.198
1789180911.171,91,0,41647,41556,0,0,0,0,25900.202
1789180916.258,97,0,41819,41722,0,0,0,0,25905.289
1789180921.366,138,0,42011,41873,0,0,0,0,25910.397
1789180926.469,186,0,42220,42034,0,0,0,0,25915.501
1789180931.499,177,0,42386,42209,0,0,0,0,25920.530
1789180934.092,111,0,42550,42439,0,0,0,0,25925.603
1789180939.206,86,0,42703,42617,0,0,0,0,25930.717
1789180944.502,111,0,42891,42780,0,0,0,0,25936.013
1789180949.577,153,0,43082,42929,0,0,0,0,25941.088
1789180954.653,142,0,43267,43125,0,0,0,0,25946.164
1789180959.774,145,0,43454,43309,0,0,0,0,25951.285
1789180964.789,118,0,43620,43502,0,0,0,0,25956.301
1789180967.411,108,0,43797,43689,0,0,0,0,25961.403
1789180972.469,182,0,44009,43827,0,0,0,0,25966.461
1789180977.574,175,0,44182,44007,0,0,0,0,25971.566
1789180982.614,225,0,44394,44169,0,0,0,0,25976.607
1789180987.672,250,0,44594,44344,0,0,0,0,25981.664
1789180992.729,239,0,44762,44523,0,0,0,0,25986.721
1789180995.338,213,0,44940,44727,0,0,0,0,25991.811
1789181000.373,240,0,45144,44904,0,0,0,0,25996.846
1789181005.450,265,0,45331,45066,0,0,0,0,26001.923
1789181010.464,220,0,45490,45270,0,0,0,0,26006.937
1789181015.529,204,0,45685,45481,0,0,0,0,26012.002
1789181020.544,217,0,45863,45646,0,0,0,0,26017.017
1789181023.114,175,0,46034,45859,0,0,0,0,26022.068
1789181028.325,99,0,46185,46086,0,0,0,0,26027.279
1789181033.340,121,0,46367,46246,0,0,0,0,26032.294
1789181038.406,97,0,46535,46438,0,0,0,0,26037.360
1789181043.445,81,0,46685,46604,0,0,0,0,26042.399
1789181048.719,124,0,46876,46752,0,0,0,0,26047.673
1789181053.744,164,0,47073,46909,0,0,0,0,26052.698
1789181056.383,136,0,47242,47106,0,0,0,0,26057.817
1789181061.421,119,0,47416,47297,0,0,0,0,26062.855
1789181066.496,0,0,47416,47416,0,0,0,0,26067.930
1789181071.524,0,0,47416,47416,0,0,0,0,26072.958
1789181076.672,0,0,47416,47416,0,0,0,0,26078.106
1789181081.695,0,0,47416,47416,0,0,0,0,26083.129
1789181084.428,0,0,47416,47416,0,0,0,0,26088.342
1789181089.433,0,0,47416,47416,0,0,0,0,26093.348
1789181094.442,0,0,47416,47416,0,0,0,0,26098.356
1789181099.445,0,0,47416,47416,0,0,0,0,26103.359
1789181104.454,0,0,47416,47416,0,0,0,0,26108.369
1789181109.459,0,0,47416,47416,0,0,0,0,26113.373
1789181114.465,0,0,47416,47416,0,0,0,0,26118.379
1789181116.985,0,0,47416,47416,0,0,0,0,26123.381
