t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789181149.761,0.0,0.0,0.0,5122185.0,480.0,5122185.0,6261552.0,47436.0,0.0,,,,26158.636
1789181154.775,0.0,0.0,0.0,5122185.0,480.0,5122185.0,6261552.0,47436.0,0.0,,,,26163.650
1789181159.779,60.0,0.0,0.11152905773932664,5128665.0,480.0,5128233.0,6264077.0,47436.0,0.0,,,,26168.655
1789181164.783,107.0,0.0,0.23076923076923073,5147241.0,480.0,5147025.0,6285443.0,47561.0,0.0,,,,26173.659
1789181169.788,126.0,0.0,0.27327440285875493,5166465.0,480.0,5166465.0,6307657.0,47720.0,0.0,,,,26178.663
1789181172.311,99.0,0.0,0.20331013729546732,5185257.0,480.0,5185257.0,6331533.0,47921.0,0.0,,,,26183.667
1789181177.320,126.0,0.0,0.26650366748166254,5205129.0,480.0,5205021.0,6354469.0,48078.0,0.0,,,,26188.676
1789181182.328,154.0,0.0,0.33402294526988907,5225325.0,480.0,5225217.0,6377878.0,48237.0,0.0,,,,26193.684
1789181187.332,187.0,0.0,0.3968403234906902,5246493.0,480.0,5246493.0,6400950.0,48400.0,0.0,,,,26198.688
1789181192.336,177.0,0.0,0.3804777129960504,5265609.0,480.0,5265501.0,6425296.0,48587.0,0.0,,,,26203.693
1789181197.340,189.0,0.0,0.40248260297160054,5286021.0,480.0,5285805.0,6449223.0,48764.0,0.0,,,,26208.697
1789181202.346,220.0,0.0,0.4675568929847659,5306865.0,480.0,5306649.0,6472576.0,48926.0,0.0,,,,26213.702
1789181204.872,168.0,0.0,0.3466240361105887,5325117.0,480.0,5325009.0,6497657.0,49147.0,0.0,,,,26218.708
1789181209.877,190.0,0.0,0.39796877938687225,5345529.0,480.0,5345421.0,6521402.0,49314.0,0.0,,,,26223.714
1789181214.883,252.0,0.0,0.529433891292082,5367561.0,480.0,5367453.0,6544137.0,49456.0,0.0,,,,26228.720
1789181219.889,240.0,0.0,0.5025390257664096,5386677.0,480.0,5386353.0,6568313.0,49645.0,0.0,,,,26233.725
1789181224.898,244.0,0.0,0.5249200677073538,5406009.0,480.0,5405361.0,6592925.0,49820.0,0.0,,,,26238.734
1789181229.902,184.0,0.0,0.3974045514387813,5423721.0,480.0,5423613.0,6618364.0,50044.0,0.0,,,,26243.739
1789181232.427,183.0,0.0,0.3943953357156291,5443377.0,480.0,5443161.0,6642456.0,50227.0,0.0,,,,26248.743
1789181237.433,216.0,0.0,0.44649238292270077,5465409.0,480.0,5465193.0,6665676.0,50398.0,0.0,,,,26253.750
1789181242.438,252.0,0.0,0.5220989279668986,5486469.0,480.0,5486145.0,6688958.0,50557.0,0.0,,,,26258.755
1789181247.442,192.0,0.0,0.42523979687793867,5502345.0,480.0,5502237.0,6714750.0,50764.0,0.0,,,,26263.759
1789181252.447,177.0,0.0,0.37690426932480725,5522649.0,576.0,5522541.0,6739417.0,50967.0,0.0,,,,26268.764
1789181257.452,170.0,0.0,0.3614820387436525,5541981.0,576.0,5541873.0,6763238.0,51153.0,0.0,,,,26273.769
1789181262.457,191.0,0.0,0.3990972352830544,5562501.0,576.0,5561961.0,6786364.0,51322.0,0.0,,,,26278.774
1789181264.982,198.0,0.0,0.43012977242806094,5581185.0,576.0,5580861.0,6810112.0,51488.0,0.0,,,,26283.778
