t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789157799.185,0.0,0.0,0.0,3152.0,0.0,3152.0,3960.0,30.0,0.0,972.0,2916.0,2891.0,866.405
1789157801.711,0.0,0.0,0.0,3152.0,0.0,3152.0,3960.0,30.0,0.0,972.0,2916.0,2891.0,871.422
1789157806.716,1.0,0.0,0.0036609405801182326,3260.0,0.0,3260.0,4055.0,30.0,0.0,987.0,2961.0,2916.0,876.427
1789157811.721,1.0,0.0,0.0036609405801182326,3584.0,0.0,3584.0,4454.0,33.0,0.0,1077.0,3230.0,3054.0,881.432
1789157816.725,1.0,0.0,0.003379329766262984,3908.0,0.0,3908.0,4835.0,36.0,0.0,1156.0,3467.0,3164.0,886.437
1789157821.730,1.0,0.0,0.0028161081385524867,4232.0,0.0,4232.0,5198.0,39.0,0.0,1222.0,3665.0,3259.0,891.441
1789157826.734,1.0,0.0,0.003379329766262984,4556.0,0.0,4556.0,5623.0,42.0,0.0,1332.0,3995.0,3415.0,896.446
1789157831.739,1.0,0.0,0.0030977189524077353,4988.0,0.0,4988.0,6131.0,46.0,0.0,1434.0,4301.0,3654.0,901.450
1789157834.247,1.0,0.0,0.0028161081385524867,5312.0,0.0,5312.0,6513.0,49.0,0.0,1522.0,4565.0,3777.0,906.455
1789157839.253,1.0,0.0,0.0022528865108419893,5636.0,0.0,5636.0,6870.0,52.0,0.0,1594.0,4781.0,3871.0,911.460
1789157844.259,1.0,0.0,0.0036609405801182326,5852.0,0.0,5852.0,7215.0,54.0,0.0,1681.0,5042.0,3950.0,916.467
1789157849.301,1.0,0.0,0.0030977189524077353,6176.0,0.0,6176.0,7582.0,57.0,0.0,1744.0,5231.0,4058.0,921.508
1789157854.331,1.0,0.0,0.0028161081385524867,6500.0,0.0,6500.0,7971.0,60.0,0.0,1824.0,5471.0,4179.0,926.538
1789157859.360,1.0,0.0,0.003942551393973481,6824.0,0.0,6824.0,8422.0,63.0,0.0,1915.0,5744.0,4365.0,931.568
1789157861.881,1.0,0.0,0.002534497324697238,7148.0,0.0,7148.0,8737.0,66.0,0.0,1971.0,5912.0,4414.0,936.589
1789157866.896,1.0,0.0,0.0022528865108419893,7472.0,0.0,7472.0,9115.0,69.0,0.0,2045.0,6134.0,4526.0,941.604
1789157871.908,1.0,0.0,0.00422416220782873,7688.0,0.0,7688.0,9500.0,71.0,0.0,2114.0,6341.0,4648.0,946.616
1789157876.927,1.0,0.0,0.003942551393973481,8012.0,0.0,8012.0,9881.0,74.0,0.0,2191.0,6572.0,4762.0,951.635
1789157881.937,1.0,0.0,0.002534497324697238,8336.0,0.0,8336.0,10195.0,77.0,0.0,2239.0,6716.0,4812.0,956.645
1789157887.139,1.0,0.0,0.0036609405801182326,8768.0,0.0,8768.0,10790.0,81.0,0.0,2375.0,7124.0,5143.0,961.847
1789157892.143,1.0,0.0,0.0022528865108419893,9200.0,0.0,9200.0,11238.0,85.0,0.0,2507.0,7519.0,5331.0,966.851
1789157894.652,0.0,0.0,0.0,9416.0,0.0,9416.0,11616.0,88.0,0.0,2587.0,7759.0,5443.0,971.856
1789157899.657,0.0,0.0,0.0,9632.0,0.0,9632.0,11880.0,90.0,0.0,2622.0,7864.0,5483.0,976.862
