t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789157800.784,0,0,30,30,0,0,0,0,868.004
1789157803.295,0,0,30,30,0,0,0,0,873.006
1789157808.296,1,0,32,31,0,0,0,0,878.007
1789157813.296,1,0,36,35,0,0,0,0,883.008
1789157818.298,1,0,38,37,0,0,0,0,888.009
1789157823.299,1,0,41,40,0,0,0,0,893.010
1789157828.300,1,0,44,43,0,0,0,0,898.011
1789157833.301,1,0,48,47,0,0,0,0,903.012
1789157835.806,1,0,51,50,0,0,0,0,908.014
1789157840.808,1,0,53,52,0,0,0,0,913.015
1789157845.810,1,0,56,55,0,0,0,0,918.017
1789157850.811,1,0,59,58,0,0,0,0,923.018
1789157855.812,1,0,62,61,0,0,0,0,928.020
1789157860.814,1,0,65,64,0,0,0,0,933.021
1789157863.316,1,0,67,66,0,0,0,0,938.024
1789157868.317,1,0,71,70,0,0,0,0,943.025
1789157873.318,1,0,73,72,0,0,0,0,948.026
1789157878.319,1,0,76,75,0,0,0,0,953.027
1789157883.321,1,0,79,78,0,0,0,0,958.029
1789157888.323,1,0,83,82,0,0,0,0,963.031
1789157893.324,1,0,87,86,0,0,0,0,968.032
1789157895.830,1,0,89,88,0,0,0,0,973.034
1789157900.833,0,0,90,90,0,0,0,0,978.038
