t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789157913.214,0.0,0.0,0.0,10678.0,960.0,10678.0,13200.0,100.0,0.0,2934.0,8800.0,6394.0,990.419
1789157918.226,0.0,0.0,0.0,10678.0,960.0,10678.0,13200.0,100.0,0.0,2934.0,8800.0,6394.0,995.430
1789157923.231,4.0,0.0,0.007885102787947074,11110.0,1056.0,11110.0,13205.0,100.0,0.0,2935.0,8803.0,6394.0,1000.436
1789157925.754,127.0,0.0,0.42382427485215435,26770.0,5376.0,26770.0,25443.0,122.0,0.0,5287.0,15856.0,10020.0,1005.442
1789157930.760,62.0,0.0,0.1954379048155449,37894.0,6720.0,37894.0,42326.0,290.0,0.0,8976.0,26910.0,15863.0,1010.448
1789157935.767,70.0,0.0,0.21177133201914955,50638.0,6720.0,50638.0,56773.0,400.0,0.0,12153.0,36437.0,20973.0,1015.455
1789157940.771,57.0,0.0,0.17656998028724302,61114.0,6720.0,61114.0,70763.0,510.0,0.0,15269.0,45779.0,25956.0,1020.460
1789157945.775,58.0,0.0,0.1684032666854407,72238.0,6720.0,72238.0,83675.0,612.0,0.0,17992.0,53941.0,30333.0,1025.464
1789157950.780,55.0,0.0,0.1661503801745987,82174.0,6720.0,82174.0,96462.0,707.0,0.0,20670.0,61970.0,34368.0,1030.469
1789157955.785,46.0,0.0,0.141931850183047,92650.0,6720.0,92650.0,110079.0,813.0,0.0,23597.0,70745.0,38915.0,1035.473
1789157960.789,50.0,0.0,0.14953534215713882,102586.0,6720.0,102586.0,121666.0,901.0,0.0,25993.0,77931.0,42881.0,1040.477
1789157965.793,75.0,0.0,0.23120247817516193,115330.0,6720.0,115330.0,135672.0,994.0,0.0,28877.0,86580.0,47016.0,1045.481
1789157967.131,75.0,0.0,0.23063925654745143,128074.0,6720.0,128074.0,151237.0,1112.0,0.0,32126.0,96321.0,52017.0,1050.490
1789157972.141,42.0,0.0,0.139678963672205,136930.0,6720.0,136930.0,165032.0,1227.0,0.0,35072.0,105155.0,56718.0,1055.500
1789157977.147,60.0,0.0,0.18473669388904534,149350.0,6720.0,149350.0,178361.0,1324.0,0.0,37754.0,113200.0,60862.0,1060.505
1789157982.152,51.0,0.0,0.16051816389749363,159394.0,6720.0,159394.0,191490.0,1426.0,0.0,40622.0,121800.0,65166.0,1065.510
1789157987.156,52.0,0.0,0.15911010982821738,169330.0,6720.0,169330.0,203261.0,1517.0,0.0,43059.0,129110.0,68767.0,1070.514
1789157992.161,28.0,0.0,0.0839200225288651,177970.0,6720.0,177970.0,215520.0,1621.0,0.0,45727.0,137106.0,73299.0,1075.519
1789157997.166,48.0,0.0,0.15206983948183606,188230.0,6720.0,188230.0,226979.0,1696.0,0.0,48052.0,144080.0,76843.0,1080.524
1789157999.690,62.0,0.0,0.18924246691072932,200110.0,6720.0,200110.0,240125.0,1792.0,0.0,50914.0,152665.0,81498.0,1085.529
1789158004.859,0.0,0.0,0.0,205078.0,6720.0,205078.0,250800.0,1900.0,0.0,53311.0,159856.0,85055.0,1090.697
1789158009.864,0.0,0.0,0.0,205078.0,6720.0,205078.0,250800.0,1900.0,0.0,53311.0,159856.0,85055.0,1095.702
