t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789157914.801,0,0,100,100,0,0,0,0,992.006
1789157919.804,0,0,100,100,0,0,0,0,997.008
1789157922.324,88,0,188,100,0,0,0,0,1002.012
1789157927.324,103,0,285,182,0,0,0,0,1007.013
1789157932.326,64,0,390,326,0,0,0,0,1012.015
1789157937.332,54,0,498,444,0,0,0,0,1017.021
1789157942.334,52,0,599,547,0,0,0,0,1022.022
1789157947.335,51,0,693,642,0,0,0,0,1027.023
1789157952.336,61,0,796,735,0,0,0,0,1032.025
1789157957.337,38,0,879,841,0,0,0,0,1037.026
1789157962.338,67,0,994,927,0,0,0,0,1042.027
1789157967.339,80,0,1109,1029,0,0,0,0,1047.028
1789157968.670,58,0,1211,1153,0,0,0,0,1052.029
1789157973.693,52,0,1309,1257,0,0,0,0,1057.051
1789157978.695,57,0,1412,1355,0,0,0,0,1062.053
1789157983.696,42,0,1501,1459,0,0,0,0,1067.054
1789157988.697,50,0,1600,1550,0,0,0,0,1072.055
1789157993.698,47,0,1683,1636,0,0,0,0,1077.056
1789157996.219,49,0,1777,1728,0,0,0,0,1082.058
1789158001.221,61,0,1885,1824,0,0,0,0,1087.059
1789158006.222,0,0,1900,1900,0,0,0,0,1092.061
1789158011.224,0,0,1900,1900,0,0,0,0,1097.062
