t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789157450.498,0.0,0.0,0.0,10678.0,800.0,10678.0,13200.0,100.0,0.0,7221.0,21663.0,5946.0,490.300
1789157455.506,0.0,0.0,0.0,10678.0,800.0,10678.0,13200.0,100.0,0.0,7221.0,21663.0,5946.0,495.308
1789157460.511,64.0,192.0,0.09409631271408425,17590.0,3120.0,13162.0,13229.0,100.0,0.0,7227.0,21681.0,5946.0,500.313
1789157465.520,254.0,0.0,0.6089059036872859,38542.0,5600.0,38542.0,30564.0,104.0,0.0,17589.0,52767.0,12688.0,505.322
1789157470.524,238.0,0.0,0.5111827523675196,57010.0,5600.0,56686.0,49582.0,291.0,0.0,27820.0,83460.0,21468.0,510.327
1789157473.056,250.0,0.0,0.6280475518839412,68242.0,5600.0,68134.0,69531.0,383.0,0.0,39033.0,117099.0,30183.0,515.340
1789157478.063,247.0,0.0,0.5264960709248439,89086.0,5600.0,88222.0,87732.0,579.0,0.0,48950.0,146850.0,38461.0,520.347
1789157483.078,249.0,0.0,0.6149506346967559,99886.0,5600.0,99562.0,107409.0,677.0,0.0,59910.0,179730.0,47151.0,525.362
1789157488.083,246.0,0.0,0.536369131573645,118678.0,5600.0,118246.0,124961.0,854.0,0.0,69885.0,209655.0,54715.0,530.367
1789157493.088,248.0,0.0,0.5909732016925247,131962.0,5600.0,131638.0,144935.0,975.0,0.0,80780.0,242340.0,63775.0,535.372
1789157498.093,244.0,0.0,0.5555107797703003,148270.0,5600.0,148270.0,162986.0,1130.0,0.0,91076.0,273228.0,71513.0,540.377
1789157503.098,250.0,0.0,0.5839210155148096,163282.0,5600.0,163174.0,182047.0,1263.0,0.0,101668.0,305004.0,79974.0,545.382
1789157505.623,248.0,0.0,0.5800926858754785,178510.0,5600.0,178186.0,201044.0,1406.0,0.0,112254.0,336762.0,88363.0,550.388
1789157510.627,248.0,0.0,0.5619584928470682,195034.0,5600.0,194494.0,219719.0,1559.0,0.0,122551.0,367653.0,96717.0,555.392
1789157515.632,247.0,0.0,0.5752569010679025,210262.0,5600.0,210262.0,239654.0,1701.0,0.0,133634.0,400902.0,105534.0,560.397
1789157520.829,252.0,0.0,0.5948015313318558,225382.0,5600.0,225166.0,258426.0,1836.0,0.0,144223.0,432669.0,113693.0,565.593
1789157525.839,0.0,0.0,0.0,226678.0,5600.0,226678.0,277200.0,2100.0,0.0,154145.0,462435.0,122766.0,570.604
1789157530.854,0.0,0.0,0.0,226678.0,5600.0,226678.0,277200.0,2100.0,0.0,154145.0,462435.0,122766.0,575.618
