t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789157452.055,0,0,100,100,0,0,0,0,491.858
1789157457.108,0,0,100,100,0,0,0,0,496.910
1789157462.261,256,0,356,100,0,0,0,0,502.064
1789157467.262,256,0,389,133,0,0,0,0,507.065
1789157472.264,256,0,605,349,0,0,0,0,512.066
1789157474.787,256,0,693,437,0,0,0,0,517.071
1789157479.792,256,0,871,615,0,0,0,0,522.076
1789157484.794,256,0,1001,745,0,0,0,0,527.077
1789157489.795,256,0,1142,886,0,0,0,0,532.078
1789157494.796,256,0,1290,1034,0,0,0,0,537.080
1789157499.798,256,0,1417,1161,0,0,0,0,542.082
1789157502.318,256,0,1575,1319,0,0,0,0,547.083
1789157507.320,252,0,1710,1458,0,0,0,0,552.085
1789157512.324,256,0,1860,1604,0,0,0,0,557.089
1789157517.350,256,0,1999,1743,0,0,0,0,562.115
1789157522.352,203,0,2100,1897,0,0,0,0,567.116
1789157527.357,0,0,2100,2100,0,0,0,0,572.122
1789157532.358,0,0,2100,2100,0,0,0,0,577.123
