t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789157546.304,0,0,2110,2110,0,0,0,0,593.565
1789157551.331,0,0,2110,2110,0,0,0,0,598.593
1789157556.334,27,0,2205,2178,0,0,0,0,603.595
1789157561.335,29,0,2305,2276,0,0,0,0,608.597
1789157563.837,34,0,2418,2384,0,0,0,0,613.598
1789157568.839,15,0,2507,2492,0,0,0,0,618.600
1789157573.840,35,0,2610,2575,0,0,0,0,623.601
1789157578.841,50,0,2725,2675,0,0,0,0,628.602
1789157583.844,38,0,2828,2790,0,0,0,0,633.604
1789157588.846,31,0,2932,2901,0,0,0,0,638.606
1789157593.848,24,0,3030,3006,0,0,0,0,643.608
1789157596.343,26,0,3118,3092,0,0,0,0,648.611
1789157601.345,31,0,3221,3190,0,0,0,0,653.612
1789157606.347,31,0,3325,3294,0,0,0,0,658.614
1789157611.349,22,0,3413,3391,0,0,0,0,663.616
1789157616.351,24,0,3519,3495,0,0,0,0,668.618
1789157621.353,29,0,3614,3585,0,0,0,0,673.620
1789157623.857,31,0,3715,3684,0,0,0,0,678.622
1789157628.860,18,0,3799,3781,0,0,0,0,683.625
1789157633.862,33,0,3904,3871,0,0,0,0,688.627
1789157638.963,0,0,3910,3910,0,0,0,0,693.728
1789157644.019,0,0,3910,3910,0,0,0,0,698.784
